"cdrRecordType","globalCallID_callManagerId","globalCallID_callId","origLegCallIdentifier","dateTimeOrigination","origNodeId","origSpan","origIpAddr","callingPartyNumber","callingPartyUnicodeLoginUserID","origCause_location","origCause_value","origPrecedenceLevel","origMediaTransportAddress_IP","origMediaTransportAddress_Port","origMediaCap_payloadCapability","origMediaCap_maxFramesPerPacket","origMediaCap_g723BitRate","origVideoCap_Codec","origVideoCap_Bandwidth","origVideoCap_Resolution","origVideoTransportAddress_IP","origVideoTransportAddress_Port","origRSVPAudioStat","origRSVPVideoStat","destLegIdentifier","destNodeId","destSpan","destIpAddr","originalCalledPartyNumber","finalCalledPartyNumber","finalCalledPartyUnicodeLoginUserID","destCause_location","destCause_value","destPrecedenceLevel","destMediaTransportAddress_IP","destMediaTransportAddress_Port","destMediaCap_payloadCapability","destMediaCap_maxFramesPerPacket","destMediaCap_g723BitRate","destVideoCap_Codec","destVideoCap_Bandwidth","destVideoCap_Resolution","destVideoTransportAddress_IP","destVideoTransportAddress_Port","destRSVPAudioStat","destRSVPVideoStat","dateTimeConnect","dateTimeDisconnect","lastRedirectDn","pkid","originalCalledPartyNumberPartition","callingPartyNumberPartition","finalCalledPartyNumberPartition","lastRedirectDnPartition","duration","origDeviceName","destDeviceName","origCallTerminationOnBehalfOf","destCallTerminationOnBehalfOf","origCalledPartyRedirectOnBehalfOf","lastRedirectRedirectOnBehalfOf","origCalledPartyRedirectReason","lastRedirectRedirectReason","destConversationId","globalCallId_ClusterID","joinOnBehalfOf","comment","authCodeDescription","authorizationLevel","clientMatterCode","origDTMFMethod","destDTMFMethod","callSecuredStatus","origConversationId","origMediaCap_Bandwidth","destMediaCap_Bandwidth","authorizationCodeValue","outpulsedCallingPartyNumber","outpulsedCalledPartyNumber","origIpv4v6Addr","destIpv4v6Addr","origVideoCap_Codec_Channel2","origVideoCap_Bandwidth_Channel2","origVideoCap_Resolution_Channel2","origVideoTransportAddress_IP_Channel2","origVideoTransportAddress_Port_Channel2","origVideoChannel_Role_Channel2","destVideoCap_Codec_Channel2","destVideoCap_Bandwidth_Channel2","destVideoCap_Resolution_Channel2","destVideoTransportAddress_IP_Channel2","destVideoTransportAddress_Port_Channel2","destVideoChannel_Role_Channel2","IncomingProtocolID","IncomingProtocolCallRef","OutgoingProtocolID","OutgoingProtocolCallRef","currentRoutingReason","origRoutingReason","lastRedirectingRoutingReason","huntPilotPartition","huntPilotDN","calledPartyPatternUsage","IncomingICID","IncomingOrigIOI","IncomingTermIOI","OutgoingICID","OutgoingOrigIOI","OutgoingTermIOI","outpulsedOriginalCalledPartyNumber","outpulsedLastRedirectingNumber","wasCallQueued","totalWaitTimeInQueue","callingPartyNumber_uri","originalCalledPartyNumber_uri","finalCalledPartyNumber_uri","lastRedirectDn_uri"
INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(50),VARCHAR(128),INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(64),VARCHAR(64),INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(50),VARCHAR(50),VARCHAR(128),INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(64),VARCHAR(64),INTEGER,INTEGER,VARCHAR(50),UNIQUEIDENTIFIER,VARCHAR(50),VARCHAR(50),VARCHAR(50),VARCHAR(50),INTEGER,VARCHAR(129),VARCHAR(129),INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(50),INTEGER,VARCHAR(2048),VARCHAR(50),INTEGER,VARCHAR(32),INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(32),VARCHAR(50),VARCHAR(50),VARCHAR(64),VARCHAR(64),INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(32),INTEGER,VARCHAR(32),INTEGER,INTEGER,INTEGER,VARCHAR(50),VARCHAR(50),INTEGER,VARCHAR(50),VARCHAR(50),VARCHAR(50),VARCHAR(50),VARCHAR(50),VARCHAR(50),VARCHAR(50),VARCHAR(50),INTEGER,INTEGER,VARCHAR(255),VARCHAR(255),VARCHAR(255),VARCHAR(255)
1,1,1955027,26686937,1546318206,1,26686937,17756682,"610001","",0,1,4,0,0,0,0,0,0,0,0,0,0,"0","0",26686938,0,0,0,"4219","4219","",0,0,4,0,0,0,0,0,0,0,0,0,0,"0","0",0,1546318206,"4219","7cec71fd-c3a6-4d69-b354-3e14d90edbd6","","","","",0,"10.242.14.1","",13,0,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",1,0,0,0,0,0,"","","","::","",0,0,0,0,0,0,0,0,0,0,0,0,2,"8817BC4D0CB711E99A76D77019D8591D",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955026,26686935,1546318176,1,0,-706351094,"2176","MOHAMEMO",0,0,4,-706351094,16926,4,20,0,0,0,0,0,0,"0","0",26686936,1,0,1961160714,"2513","2513","",0,16,4,1961160714,28756,4,20,0,0,0,0,0,0,"0","0",1546318185,1546318206,"2513","e61ee8cd-6fc9-46eb-8869-ee74d63ef8ff","Internal_PT","Internal_PT","Internal_PT","Internal_PT",21,"SEP204C9ED63CDC","SEP689CE2E691C2",0,12,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.229.213","10.240.228.116",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955028,26686940,1546318365,1,0,-656084982,"2519","NATFJI",0,0,4,-656084982,25902,4,20,0,0,0,0,0,0,"0","0",26686941,1,0,1961160714,"2513","2513","",0,16,4,1961160714,31038,4,20,0,0,0,0,0,0,"0","0",1546318371,1546318413,"2513","5bcff1e5-f52e-4ce5-95c7-f1b0bddd7528","Internal_PT","Internal_PT","Internal_PT","Internal_PT",42,"SEP689CE2E7146F","SEP689CE2E691C2",0,12,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.228.216","10.240.228.116",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955029,26686942,1546318629,1,0,-706351094,"2176","MOHAMEMO",0,0,4,-706351094,29124,4,20,0,0,0,0,0,0,"0","0",26686943,1,0,1961160714,"2513","2513","",0,16,4,1961160714,24570,4,20,0,0,0,0,0,0,"0","0",1546318634,1546318659,"2513","db0ae3d0-bcd9-4630-80b1-8b398b7b17de","Internal_PT","Internal_PT","Internal_PT","Internal_PT",25,"SEP204C9ED63CDC","SEP689CE2E691C2",0,12,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.229.213","10.240.228.116",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955030,26686944,1546318809,1,0,-656084982,"2519","NATFJI",0,0,4,-656084982,21094,4,20,0,0,0,0,0,0,"0","0",26686945,1,0,1961160714,"2513","2513","",0,16,4,1961160714,26230,4,20,0,0,0,0,0,0,"0","0",1546318815,1546318835,"2513","c2462ab7-11b3-41ba-a2db-77ac9ac9ee0e","Internal_PT","Internal_PT","Internal_PT","Internal_PT",20,"SEP689CE2E7146F","SEP689CE2E691C2",0,12,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.228.216","10.240.228.116",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955031,26686946,1546319454,1,0,-555356150,"2517","ELIAS",0,0,4,-555356150,32670,4,20,0,0,0,0,0,0,"0","0",26686947,1,0,1961160714,"2513","2513","",0,16,4,1961160714,25686,4,20,0,0,0,0,0,0,"0","0",1546319465,1546319481,"2513","60c7c5cb-729f-4af5-9fa6-4e2005e50efc","Internal_PT","Internal_PT","Internal_PT","Internal_PT",16,"SEP204C9ED635E7","SEP689CE2E691C2",0,12,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.229.222","10.240.228.116",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955033,26686950,1546320693,1,0,-706416630,"2174","ZAZAN",0,1,4,0,0,0,0,0,0,0,0,0,0,"0","0",26686951,0,0,0,"00988098860","00988098860","",0,0,4,0,0,0,0,0,0,0,0,0,0,"0","0",0,1546320694,"00988098860","d3a5ef80-1d10-4424-99d7-e8ea0bb5e040","","Internal_PT","","",0,"SEP689CE2E7D575","",13,0,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,0,0,0,0,0,"","","","10.240.228.213","",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955032,26686948,1546320665,1,0,1961160714,"2513","",0,16,4,1961160714,32324,4,20,0,0,0,0,0,0,"0","0",26686949,1,0,-555356150,"2517","2517","ELIAS",0,0,4,-555356150,22934,4,20,0,0,0,0,0,0,"0","0",1546320678,1546320697,"2517","3a28bcd2-f7cb-49c9-9bec-56566a0cc371","Internal_PT","Internal_PT","Internal_PT","Internal_PT",19,"SEP689CE2E691C2","SEP204C9ED635E7",12,0,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.228.116","10.240.229.222",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
1,1,1955034,26686953,1546320796,1,0,-706416630,"2174","ZAZAN",0,16,4,-706416630,31556,4,20,0,0,0,0,0,0,"0","0",26686954,1,0,-555356150,"2517","2517","ELIAS",0,0,4,-555356150,19362,4,20,0,0,0,0,0,0,"0","0",1546320806,1546320815,"2517","18eda69f-33c9-49ff-a2a2-492c8cb43946","Internal_PT","Internal_PT","Internal_PT","Internal_PT",9,"SEP689CE2E7D575","SEP204C9ED635E7",12,0,0,0,0,0,0,"StandAloneCluster",0,"","",0,"",3,3,0,0,64,64,"","","","10.240.228.213","10.240.229.222",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,"","",2,"","","","","","","","",0,0,"","","",""
